Data,Open,High,Low,Close,Volume
1996-01-03,5.2872,5.2872,5.2872,5.2872,48146.0
1996-01-04,5.346,5.346,5.346,5.346,86864.0
1996-01-05,5.5716,5.5716,5.5716,5.5716,120410.0
1996-01-08,5.6108,5.6108,5.6108,5.6108,47295.0
1996-01-09,5.7972,5.7972,5.7972,5.7972,108658.0
1996-01-10,5.7776,5.7776,5.7776,5.7776,102033.0
1996-01-11,5.9051,5.9051,5.9051,5.9051,76688.0
1996-01-12,5.7972,5.7972,5.7972,5.7972,66489.0
1996-01-15,5.6108,5.6108,5.6108,5.6108,39548.0
1996-01-16,5.7972,5.7972,5.7972,5.7972,121249.0
1996-01-17,5.9836,5.9836,5.9836,5.9836,193901.0
1996-01-18,5.7972,5.7972,5.7972,5.7972,56399.0
1996-01-19,5.6108,5.6108,5.6108,5.6108,87731.0
1996-01-22,5.7972,5.7972,5.7972,5.7972,63900.0
1996-01-23,5.6304,5.6304,5.6304,5.6304,57861.0
1996-01-24,5.7972,5.7972,5.7972,5.7972,83218.0
1996-01-25,5.9051,5.9051,5.9051,5.9051,200746.0
1996-01-26,6.0032,6.0032,6.0032,6.0032,186328.0
1996-01-29,6.3956,6.3956,6.3956,6.3956,128910.0
1996-01-30,6.3073,6.3073,6.3073,6.3073,98333.0
1996-01-31,6.4152,6.4152,6.4152,6.4152,191890.0
1996-02-01,6.2092,6.2092,6.2092,6.2092,95204.0
1996-02-02,6.2092,6.2092,6.2092,6.2092,127984.0
1996-02-05,5.9639,5.9639,5.9639,5.9639,54093.0
1996-02-06,5.9639,5.9639,5.9639,5.9639,65330.0
1996-02-07,5.7972,5.7972,5.7972,5.7972,58467.0
1996-02-08,5.7972,5.7972,5.7972,5.7972,87793.0
1996-02-09,5.9639,5.9639,5.9639,5.9639,139976.0
1996-02-12,6.2877,6.2877,6.2877,6.2877,214082.0
1996-02-13,5.7384,5.7384,5.7384,5.7384,93870.0
1996-02-14,5.856,5.856,5.856,5.856,109569.0
1996-02-15,5.6795,5.6795,5.6795,5.6795,91807.0
1996-02-16,5.6108,5.6108,5.6108,5.6108,96195.0
1996-02-19,5.6108,5.6108,5.6108,5.6108,41686.0
1996-02-20,5.5912,5.5912,5.5912,5.5912,33076.0
1996-02-21,5.4735,5.4735,5.4735,5.4735,61329.0
1996-02-22,5.5912,5.5912,5.5912,5.5912,30572.0
1996-02-23,5.4735,5.4735,5.4735,5.4735,44695.0
1996-02-26,5.5912,5.5912,5.5912,5.5912,59892.0
1996-02-27,5.7384,5.7384,5.7384,5.7384,90823.0
1996-02-28,5.758,5.758,5.758,5.758,69222.0
1996-02-29,6.0032,6.0032,6.0032,6.0032,306772.0
1996-03-01,6.1013,6.1013,6.1013,6.1013,172310.0
1996-03-04,6.2485,6.2485,6.2485,6.2485,269894.0
1996-03-05,6.2092,6.2092,6.2092,6.2092,202731.0
1996-03-06,6.1013,6.1013,6.1013,6.1013,72725.0
1996-03-07,6.1013,6.1013,6.1013,6.1013,118096.0
1996-03-08,6.0817,6.0817,6.0817,6.0817,152266.0
1996-03-11,6.0424,6.0424,6.0424,6.0424,194333.0
1996-03-12,5.9639,5.9639,5.9639,5.9639,95521.0
1996-03-13,5.9639,5.9639,5.9639,5.9639,50572.0
1996-03-14,5.9836,5.9836,5.9836,5.9836,77476.0
1996-03-15,5.9836,5.9836,5.9836,5.9836,116424.0
1996-03-18,6.1699,6.1699,6.1699,6.1699,83026.0
1996-03-19,6.3073,6.3073,6.3073,6.3073,160771.0
1996-03-20,6.1013,6.1013,6.1013,6.1013,54543.0
1996-03-21,6.1013,6.1013,6.1013,6.1013,39800.0
1996-03-22,5.856,5.856,5.856,5.856,54098.0
1996-03-25,5.6795,5.6795,5.6795,5.6795,87838.0
1996-03-26,5.7776,5.7776,5.7776,5.7776,68544.0
1996-03-27,5.8756,5.8756,5.8756,5.8756,71432.0
1996-03-28,5.7776,5.7776,5.7776,5.7776,55558.0
1996-03-29,5.856,5.856,5.856,5.856,54186.0
1996-04-01,5.8756,5.8756,5.8756,5.8756,63436.0
1996-04-02,5.758,5.758,5.758,5.758,80077.0
1996-04-03,5.7776,5.7776,5.7776,5.7776,70706.0
1996-04-04,5.7972,5.7972,5.7972,5.7972,43636.0
1996-04-05,5.9051,5.9051,5.9051,5.9051,40248.0
1996-04-09,6.0032,6.0032,6.0032,6.0032,44478.0
1996-04-10,6.0817,6.0817,6.0817,6.0817,85376.0
1996-04-11,6.0032,6.0032,6.0032,6.0032,50808.0
1996-04-12,6.0032,6.0032,6.0032,6.0032,71130.0
1996-04-15,5.9051,5.9051,5.9051,5.9051,108466.0
1996-04-16,5.9639,5.9639,5.9639,5.9639,50152.0
1996-04-17,6.0228,6.0228,6.0228,6.0228,63502.0
1996-04-18,6.0621,6.0621,6.0621,6.0621,54911.0
1996-04-19,6.0032,6.0032,6.0032,6.0032,66716.0
1996-04-22,6.1013,6.1013,6.1013,6.1013,74609.0
1996-04-23,6.3073,6.3073,6.3073,6.3073,238584.0
1996-04-24,6.6212,6.6212,6.6212,6.6212,441635.0
1996-04-25,7.0233,7.0233,7.0233,7.0233,322320.0
1996-04-26,6.9253,6.9253,6.9253,6.9253,180944.0
1996-04-29,7.0233,7.0233,7.0233,7.0233,161944.0
1996-04-30,6.9841,6.9841,6.9841,6.9841,145142.0
1996-05-06,7.4354,7.4354,7.4354,7.4354,122091.0
1996-05-07,7.9062,7.9062,7.9062,7.9062,285213.0
1996-05-08,7.9062,7.9062,7.9062,7.9062,278759.0
1996-05-09,7.8669,7.8669,7.8669,7.8669,140520.0
1996-05-10,7.6414,7.6414,7.6414,7.6414,202831.0
1996-05-13,7.6021,7.6021,7.6021,7.6021,113013.0
1996-05-14,7.4158,7.4158,7.4158,7.4158,61010.0
1996-05-15,7.2294,7.2294,7.2294,7.2294,200148.0
1996-05-16,7.1705,7.1705,7.1705,7.1705,102081.0
1996-05-17,7.1312,7.1312,7.1312,7.1312,131914.0
